2026-03-10 14:05:36.779 [info] Reading sessions from keychain...
2026-03-10 16:31:19.182 [info] Got 1 sessions for ...
2026-03-10 16:31:21.079 [info] Getting sessions for all scopes...
2026-03-10 16:31:21.079 [info] Got 1 sessions for ...
2026-03-10 16:31:21.440 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 16:31:21.440 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 16:31:22.190 [info] Getting sessions for all scopes...
2026-03-10 16:31:22.190 [info] Got 1 sessions for ...
2026-03-10 16:31:22.192 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 16:31:22.192 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 16:31:52.321 [info] Getting sessions for all scopes...
2026-03-10 16:31:52.322 [info] Got 1 sessions for ...
2026-03-10 16:31:52.322 [info] Getting sessions for all scopes...
2026-03-10 16:31:52.322 [info] Got 1 sessions for ...
2026-03-10 16:31:53.067 [info] Getting sessions for all scopes...
2026-03-10 16:31:53.067 [info] Got 1 sessions for ...
2026-03-10 16:31:53.069 [info] Getting sessions for all scopes...
2026-03-10 16:31:53.069 [info] Got 1 sessions for ...
2026-03-10 16:31:54.533 [info] Getting sessions for all scopes...
2026-03-10 16:31:54.533 [info] Got 1 sessions for ...
2026-03-10 16:31:54.534 [info] Getting sessions for all scopes...
2026-03-10 16:31:54.534 [info] Got 1 sessions for ...
2026-03-10 16:39:09.478 [info] Getting sessions for all scopes...
2026-03-10 16:39:09.479 [info] Got 1 sessions for ...
2026-03-10 16:39:09.479 [info] Getting sessions for all scopes...
2026-03-10 16:39:09.479 [info] Got 1 sessions for ...
2026-03-10 16:43:12.487 [info] Getting sessions for all scopes...
2026-03-10 16:43:12.487 [info] Got 1 sessions for ...
2026-03-10 16:43:12.488 [info] Getting sessions for all scopes...
2026-03-10 16:43:12.488 [info] Got 1 sessions for ...
2026-03-10 16:43:39.348 [info] Getting sessions for all scopes...
2026-03-10 16:43:39.348 [info] Got 1 sessions for ...
2026-03-10 16:43:39.352 [info] Getting sessions for all scopes...
2026-03-10 16:43:39.352 [info] Got 1 sessions for ...
2026-03-10 16:43:46.759 [info] Getting sessions for all scopes...
2026-03-10 16:43:46.759 [info] Got 1 sessions for ...
2026-03-10 16:43:46.760 [info] Getting sessions for all scopes...
2026-03-10 16:43:46.804 [info] Got 1 sessions for ...
2026-03-10 16:44:27.349 [info] Getting sessions for all scopes...
2026-03-10 16:44:27.349 [info] Got 1 sessions for ...
2026-03-10 16:44:27.349 [info] Getting sessions for all scopes...
2026-03-10 16:44:27.349 [info] Got 1 sessions for ...
2026-03-10 16:44:36.453 [info] Getting sessions for all scopes...
2026-03-10 16:44:36.453 [info] Got 1 sessions for ...
2026-03-10 16:44:36.454 [info] Getting sessions for all scopes...
2026-03-10 16:44:36.454 [info] Got 1 sessions for ...
2026-03-10 16:44:37.312 [info] Getting sessions for all scopes...
2026-03-10 16:44:37.312 [info] Got 1 sessions for ...
2026-03-10 16:44:37.312 [info] Getting sessions for all scopes...
2026-03-10 16:44:37.312 [info] Got 1 sessions for ...
2026-03-10 16:44:59.345 [info] Getting sessions for all scopes...
2026-03-10 16:44:59.345 [info] Got 1 sessions for ...
2026-03-10 16:44:59.346 [info] Getting sessions for all scopes...
2026-03-10 16:44:59.346 [info] Got 1 sessions for ...
2026-03-10 16:45:00.562 [info] Getting sessions for all scopes...
2026-03-10 16:45:00.562 [info] Got 1 sessions for ...
2026-03-10 16:45:00.564 [info] Getting sessions for all scopes...
2026-03-10 16:45:00.564 [info] Got 1 sessions for ...
2026-03-10 16:45:01.631 [info] Getting sessions for all scopes...
2026-03-10 16:45:01.631 [info] Got 1 sessions for ...
2026-03-10 16:45:01.633 [info] Getting sessions for all scopes...
2026-03-10 16:45:01.633 [info] Got 1 sessions for ...
2026-03-10 16:45:02.815 [info] Getting sessions for all scopes...
2026-03-10 16:45:02.815 [info] Got 1 sessions for ...
2026-03-10 16:45:02.816 [info] Getting sessions for all scopes...
2026-03-10 16:45:02.816 [info] Got 1 sessions for ...
2026-03-10 16:53:10.670 [info] Getting sessions for all scopes...
2026-03-10 16:53:10.670 [info] Got 1 sessions for ...
2026-03-10 16:53:10.672 [info] Getting sessions for all scopes...
2026-03-10 16:53:10.672 [info] Got 1 sessions for ...
2026-03-10 16:53:25.632 [info] Getting sessions for all scopes...
2026-03-10 16:53:25.632 [info] Got 1 sessions for ...
2026-03-10 16:53:25.634 [info] Getting sessions for all scopes...
2026-03-10 16:53:25.634 [info] Got 1 sessions for ...
2026-03-10 16:53:37.884 [info] Getting sessions for all scopes...
2026-03-10 16:53:37.884 [info] Got 1 sessions for ...
2026-03-10 16:53:37.886 [info] Getting sessions for all scopes...
2026-03-10 16:53:37.886 [info] Got 1 sessions for ...
2026-03-10 16:53:38.945 [info] Getting sessions for all scopes...
2026-03-10 16:53:38.945 [info] Got 1 sessions for ...
2026-03-10 16:53:38.947 [info] Getting sessions for all scopes...
2026-03-10 16:53:38.947 [info] Got 1 sessions for ...
2026-03-10 16:54:10.707 [info] Getting sessions for all scopes...
2026-03-10 16:54:10.707 [info] Got 1 sessions for ...
2026-03-10 16:54:10.709 [info] Getting sessions for all scopes...
2026-03-10 16:54:10.709 [info] Got 1 sessions for ...
2026-03-10 16:54:25.135 [info] Getting sessions for all scopes...
2026-03-10 16:54:25.135 [info] Got 1 sessions for ...
2026-03-10 16:54:25.137 [info] Getting sessions for all scopes...
2026-03-10 16:54:25.137 [info] Got 1 sessions for ...
2026-03-10 16:59:48.787 [info] Getting sessions for all scopes...
2026-03-10 16:59:48.787 [info] Got 1 sessions for ...
2026-03-10 16:59:48.787 [info] Getting sessions for all scopes...
2026-03-10 16:59:48.787 [info] Got 1 sessions for ...
2026-03-10 17:02:22.242 [info] Getting sessions for all scopes...
2026-03-10 17:02:22.242 [info] Got 1 sessions for ...
2026-03-10 17:02:22.244 [info] Getting sessions for all scopes...
2026-03-10 17:02:22.244 [info] Got 1 sessions for ...
2026-03-10 17:02:44.185 [info] Getting sessions for all scopes...
2026-03-10 17:02:44.185 [info] Got 1 sessions for ...
2026-03-10 17:02:44.187 [info] Getting sessions for all scopes...
2026-03-10 17:02:44.187 [info] Got 1 sessions for ...
2026-03-10 17:04:58.706 [info] Getting sessions for all scopes...
2026-03-10 17:04:58.706 [info] Got 1 sessions for ...
2026-03-10 17:04:58.708 [info] Getting sessions for all scopes...
2026-03-10 17:04:58.708 [info] Got 1 sessions for ...
2026-03-10 17:04:59.568 [info] Getting sessions for all scopes...
2026-03-10 17:04:59.568 [info] Got 1 sessions for ...
2026-03-10 17:04:59.568 [info] Getting sessions for all scopes...
2026-03-10 17:04:59.568 [info] Got 1 sessions for ...
2026-03-10 17:05:22.491 [info] Getting sessions for all scopes...
2026-03-10 17:05:22.491 [info] Got 1 sessions for ...
2026-03-10 17:05:22.493 [info] Getting sessions for all scopes...
2026-03-10 17:05:22.493 [info] Got 1 sessions for ...
2026-03-10 17:06:20.551 [info] Getting sessions for all scopes...
2026-03-10 17:06:20.551 [info] Got 1 sessions for ...
2026-03-10 17:06:20.553 [info] Getting sessions for all scopes...
2026-03-10 17:06:20.553 [info] Got 1 sessions for ...
2026-03-10 19:50:55.570 [info] Getting sessions for all scopes...
2026-03-10 19:50:55.570 [info] Got 1 sessions for ...
2026-03-10 19:50:55.572 [info] Getting sessions for all scopes...
2026-03-10 19:50:55.572 [info] Got 1 sessions for ...
2026-03-10 19:50:59.038 [info] Getting sessions for all scopes...
2026-03-10 19:50:59.038 [info] Got 1 sessions for ...
2026-03-10 19:50:59.038 [info] Getting sessions for all scopes...
2026-03-10 19:50:59.038 [info] Got 1 sessions for ...
2026-03-10 19:50:59.514 [info] Getting sessions for all scopes...
2026-03-10 19:50:59.514 [info] Got 1 sessions for ...
2026-03-10 19:50:59.516 [info] Getting sessions for all scopes...
2026-03-10 19:50:59.517 [info] Got 1 sessions for ...
2026-03-10 19:51:40.268 [info] Getting sessions for all scopes...
2026-03-10 19:51:40.269 [info] Got 1 sessions for ...
2026-03-10 19:51:40.270 [info] Getting sessions for all scopes...
2026-03-10 19:51:40.270 [info] Got 1 sessions for ...
2026-03-10 19:51:43.036 [info] Getting sessions for all scopes...
2026-03-10 19:51:43.036 [info] Got 1 sessions for ...
2026-03-10 19:51:43.037 [info] Getting sessions for all scopes...
2026-03-10 19:51:43.037 [info] Got 1 sessions for ...
2026-03-10 19:52:27.520 [info] Getting sessions for all scopes...
2026-03-10 19:52:27.520 [info] Got 1 sessions for ...
2026-03-10 19:52:27.522 [info] Getting sessions for all scopes...
2026-03-10 19:52:27.522 [info] Got 1 sessions for ...
2026-03-10 19:53:49.561 [info] Getting sessions for all scopes...
2026-03-10 19:53:49.561 [info] Got 1 sessions for ...
2026-03-10 19:53:49.563 [info] Getting sessions for all scopes...
2026-03-10 19:53:49.563 [info] Got 1 sessions for ...
2026-03-10 19:53:51.038 [info] Getting sessions for all scopes...
2026-03-10 19:53:51.038 [info] Got 1 sessions for ...
2026-03-10 19:53:51.040 [info] Getting sessions for all scopes...
2026-03-10 19:53:51.040 [info] Got 1 sessions for ...
2026-03-10 19:55:31.664 [info] Getting sessions for all scopes...
2026-03-10 19:55:31.664 [info] Got 1 sessions for ...
2026-03-10 19:55:31.665 [info] Getting sessions for all scopes...
2026-03-10 19:55:31.666 [info] Got 1 sessions for ...
2026-03-10 19:55:34.583 [info] Getting sessions for all scopes...
2026-03-10 19:55:34.584 [info] Got 1 sessions for ...
2026-03-10 19:55:34.586 [info] Getting sessions for all scopes...
2026-03-10 19:55:34.586 [info] Got 1 sessions for ...
2026-03-10 19:57:15.603 [info] Getting sessions for all scopes...
2026-03-10 19:57:15.603 [info] Got 1 sessions for ...
2026-03-10 19:57:15.605 [info] Getting sessions for all scopes...
2026-03-10 19:57:15.605 [info] Got 1 sessions for ...
2026-03-10 19:58:53.653 [info] Getting sessions for all scopes...
2026-03-10 19:58:53.653 [info] Got 1 sessions for ...
2026-03-10 19:58:53.654 [info] Getting sessions for all scopes...
2026-03-10 19:58:53.655 [info] Got 1 sessions for ...
2026-03-10 20:08:49.310 [info] Getting sessions for all scopes...
2026-03-10 20:08:49.310 [info] Got 1 sessions for ...
2026-03-10 20:08:49.312 [info] Getting sessions for all scopes...
2026-03-10 20:08:49.312 [info] Got 1 sessions for ...
2026-03-10 20:09:06.653 [info] Getting sessions for all scopes...
2026-03-10 20:09:06.653 [info] Got 1 sessions for ...
2026-03-10 20:09:06.655 [info] Getting sessions for all scopes...
2026-03-10 20:09:06.655 [info] Got 1 sessions for ...
2026-03-10 20:24:00.945 [info] Getting sessions for all scopes...
2026-03-10 20:24:00.945 [info] Got 1 sessions for ...
2026-03-10 20:24:00.946 [info] Getting sessions for all scopes...
2026-03-10 20:24:00.946 [info] Got 1 sessions for ...
2026-03-10 20:32:34.743 [info] Getting sessions for all scopes...
2026-03-10 20:32:34.743 [info] Got 1 sessions for ...
2026-03-10 20:32:34.743 [info] Getting sessions for all scopes...
2026-03-10 20:32:34.743 [info] Got 1 sessions for ...
2026-03-10 20:54:48.854 [info] Getting sessions for all scopes...
2026-03-10 20:54:48.854 [info] Got 1 sessions for ...
2026-03-10 20:54:48.855 [info] Getting sessions for all scopes...
2026-03-10 20:54:48.855 [info] Got 1 sessions for ...
2026-03-10 20:55:00.570 [info] Getting sessions for all scopes...
2026-03-10 20:55:00.570 [info] Got 1 sessions for ...
2026-03-10 20:55:00.571 [info] Getting sessions for all scopes...
2026-03-10 20:55:00.572 [info] Got 1 sessions for ...
2026-03-10 20:55:03.424 [info] Getting sessions for all scopes...
2026-03-10 20:55:03.424 [info] Got 1 sessions for ...
2026-03-10 20:55:03.424 [info] Getting sessions for all scopes...
2026-03-10 20:55:03.424 [info] Got 1 sessions for ...
2026-03-10 20:55:03.471 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 20:55:03.471 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 20:55:03.473 [info] Getting sessions for all scopes...
2026-03-10 20:55:03.473 [info] Got 1 sessions for ...
2026-03-10 20:55:03.474 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 20:55:03.474 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 20:55:04.163 [info] Getting sessions for all scopes...
2026-03-10 20:55:04.163 [info] Got 1 sessions for ...
2026-03-10 20:55:04.163 [info] Getting sessions for all scopes...
2026-03-10 20:55:04.163 [info] Got 1 sessions for ...
2026-03-10 20:55:04.185 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 20:55:04.185 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 20:55:04.189 [info] Getting sessions for all scopes...
2026-03-10 20:55:04.189 [info] Got 1 sessions for ...
2026-03-10 20:55:04.190 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 20:55:04.190 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 20:55:19.867 [info] Getting sessions for all scopes...
2026-03-10 20:55:19.867 [info] Got 1 sessions for ...
2026-03-10 20:55:19.869 [info] Getting sessions for all scopes...
2026-03-10 20:55:19.869 [info] Got 1 sessions for ...
2026-03-10 20:56:52.402 [info] Getting sessions for all scopes...
2026-03-10 20:56:52.402 [info] Got 1 sessions for ...
2026-03-10 20:56:52.404 [info] Getting sessions for all scopes...
2026-03-10 20:56:52.404 [info] Got 1 sessions for ...
2026-03-10 20:57:00.357 [info] Getting sessions for all scopes...
2026-03-10 20:57:00.357 [info] Got 1 sessions for ...
2026-03-10 20:57:00.358 [info] Getting sessions for all scopes...
2026-03-10 20:57:00.358 [info] Got 1 sessions for ...
2026-03-10 20:57:01.936 [info] Getting sessions for all scopes...
2026-03-10 20:57:01.936 [info] Got 1 sessions for ...
2026-03-10 20:57:01.937 [info] Getting sessions for all scopes...
2026-03-10 20:57:01.937 [info] Got 1 sessions for ...
2026-03-10 20:57:05.730 [info] Getting sessions for all scopes...
2026-03-10 20:57:05.730 [info] Got 1 sessions for ...
2026-03-10 20:57:05.731 [info] Getting sessions for all scopes...
2026-03-10 20:57:05.731 [info] Got 1 sessions for ...
2026-03-10 20:57:15.633 [info] Getting sessions for all scopes...
2026-03-10 20:57:15.633 [info] Got 1 sessions for ...
2026-03-10 20:57:15.634 [info] Getting sessions for all scopes...
2026-03-10 20:57:15.634 [info] Got 1 sessions for ...
2026-03-10 20:57:30.652 [info] Getting sessions for all scopes...
2026-03-10 20:57:30.652 [info] Got 1 sessions for ...
2026-03-10 20:57:30.655 [info] Getting sessions for all scopes...
2026-03-10 20:57:30.655 [info] Got 1 sessions for ...
2026-03-10 20:57:32.803 [info] Getting sessions for all scopes...
2026-03-10 20:57:32.803 [info] Got 1 sessions for ...
2026-03-10 20:57:32.806 [info] Getting sessions for all scopes...
2026-03-10 20:57:32.806 [info] Got 1 sessions for ...
2026-03-10 20:58:10.336 [info] Getting sessions for all scopes...
2026-03-10 20:58:10.336 [info] Got 1 sessions for ...
2026-03-10 20:58:10.338 [info] Getting sessions for all scopes...
2026-03-10 20:58:10.338 [info] Got 1 sessions for ...
2026-03-10 21:17:51.322 [info] Getting sessions for all scopes...
2026-03-10 21:17:51.322 [info] Got 1 sessions for ...
2026-03-10 21:17:51.324 [info] Getting sessions for all scopes...
2026-03-10 21:17:51.324 [info] Got 1 sessions for ...
2026-03-10 21:18:16.454 [info] Getting sessions for all scopes...
2026-03-10 21:18:16.454 [info] Got 1 sessions for ...
2026-03-10 21:18:16.457 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 21:18:16.457 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 21:18:17.254 [info] Getting sessions for all scopes...
2026-03-10 21:18:17.254 [info] Got 1 sessions for ...
2026-03-10 21:18:17.254 [info] Getting sessions for all scopes...
2026-03-10 21:18:17.254 [info] Got 1 sessions for ...
2026-03-10 21:18:17.255 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 21:18:17.255 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 21:18:17.260 [info] Getting sessions for all scopes...
2026-03-10 21:18:17.260 [info] Got 1 sessions for ...
2026-03-10 21:18:17.261 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-10 21:18:17.261 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-10 21:29:35.501 [info] Getting sessions for all scopes...
2026-03-10 21:29:35.501 [info] Got 1 sessions for ...
2026-03-10 21:29:35.503 [info] Getting sessions for all scopes...
2026-03-10 21:29:35.503 [info] Got 1 sessions for ...
2026-03-10 21:52:07.499 [info] Getting sessions for all scopes...
2026-03-10 21:52:07.499 [info] Got 1 sessions for ...
2026-03-10 21:52:07.499 [info] Getting sessions for all scopes...
2026-03-10 21:52:07.500 [info] Got 1 sessions for ...
2026-03-10 21:54:58.554 [info] Getting sessions for all scopes...
2026-03-10 21:54:58.554 [info] Got 1 sessions for ...
2026-03-10 21:54:58.554 [info] Getting sessions for all scopes...
2026-03-10 21:54:58.554 [info] Got 1 sessions for ...
2026-03-11 12:59:24.344 [info] Getting sessions for all scopes...
2026-03-11 12:59:24.344 [info] Got 1 sessions for ...
2026-03-11 12:59:24.345 [info] Getting sessions for all scopes...
2026-03-11 12:59:24.345 [info] Got 1 sessions for ...
2026-03-11 13:00:01.857 [info] Getting sessions for all scopes...
2026-03-11 13:00:01.857 [info] Got 1 sessions for ...
2026-03-11 13:00:01.862 [info] Getting sessions for all scopes...
2026-03-11 13:00:01.862 [info] Got 1 sessions for ...
2026-03-11 13:00:07.547 [info] Getting sessions for all scopes...
2026-03-11 13:00:07.547 [info] Got 1 sessions for ...
2026-03-11 13:00:07.552 [info] Getting sessions for all scopes...
2026-03-11 13:00:07.552 [info] Got 1 sessions for ...
2026-03-11 13:00:32.841 [info] Getting sessions for all scopes...
2026-03-11 13:00:32.841 [info] Got 1 sessions for ...
2026-03-11 13:00:32.841 [info] Getting sessions for all scopes...
2026-03-11 13:00:32.842 [info] Got 1 sessions for ...
2026-03-11 13:01:17.169 [info] Getting sessions for all scopes...
2026-03-11 13:01:17.169 [info] Got 1 sessions for ...
2026-03-11 13:01:17.173 [info] Getting sessions for all scopes...
2026-03-11 13:01:17.173 [info] Got 1 sessions for ...
2026-03-11 13:01:47.315 [info] Getting sessions for all scopes...
2026-03-11 13:01:47.315 [info] Got 1 sessions for ...
2026-03-11 13:01:47.322 [info] Getting sessions for all scopes...
2026-03-11 13:01:47.322 [info] Got 1 sessions for ...
2026-03-11 13:02:21.719 [info] Getting sessions for all scopes...
2026-03-11 13:02:21.719 [info] Got 1 sessions for ...
2026-03-11 13:02:21.731 [info] Getting sessions for all scopes...
2026-03-11 13:02:21.731 [info] Got 1 sessions for ...
2026-03-11 13:03:53.624 [info] Getting sessions for all scopes...
2026-03-11 13:03:53.624 [info] Got 1 sessions for ...
2026-03-11 13:03:53.625 [info] Getting sessions for all scopes...
2026-03-11 13:03:53.625 [info] Got 1 sessions for ...
2026-03-11 13:04:26.125 [info] Getting sessions for all scopes...
2026-03-11 13:04:26.125 [info] Got 1 sessions for ...
2026-03-11 13:04:26.136 [info] Getting sessions for all scopes...
2026-03-11 13:04:26.136 [info] Got 1 sessions for ...
2026-03-11 13:05:59.526 [info] Getting sessions for all scopes...
2026-03-11 13:05:59.526 [info] Got 1 sessions for ...
2026-03-11 13:05:59.527 [info] Getting sessions for all scopes...
2026-03-11 13:05:59.527 [info] Got 1 sessions for ...
2026-03-11 13:06:40.301 [info] Getting sessions for all scopes...
2026-03-11 13:06:40.301 [info] Got 1 sessions for ...
2026-03-11 13:06:40.302 [info] Getting sessions for all scopes...
2026-03-11 13:06:40.302 [info] Got 1 sessions for ...
2026-03-11 13:11:28.825 [info] Getting sessions for all scopes...
2026-03-11 13:11:28.826 [info] Got 1 sessions for ...
2026-03-11 13:11:28.827 [info] Getting sessions for all scopes...
2026-03-11 13:11:28.827 [info] Got 1 sessions for ...
2026-03-11 13:11:37.499 [info] Getting sessions for all scopes...
2026-03-11 13:11:37.499 [info] Got 1 sessions for ...
2026-03-11 13:11:37.502 [info] Getting sessions for all scopes...
2026-03-11 13:11:37.502 [info] Got 1 sessions for ...
2026-03-11 13:11:40.877 [info] Getting sessions for all scopes...
2026-03-11 13:11:40.877 [info] Got 1 sessions for ...
2026-03-11 13:11:40.880 [info] Getting sessions for all scopes...
2026-03-11 13:11:40.880 [info] Got 1 sessions for ...
2026-03-11 13:12:24.118 [info] Getting sessions for all scopes...
2026-03-11 13:12:24.118 [info] Got 1 sessions for ...
2026-03-11 13:12:24.119 [info] Getting sessions for all scopes...
2026-03-11 13:12:24.119 [info] Got 1 sessions for ...
2026-03-11 13:12:28.198 [info] Getting sessions for all scopes...
2026-03-11 13:12:28.198 [info] Got 1 sessions for ...
2026-03-11 13:12:28.201 [info] Getting sessions for all scopes...
2026-03-11 13:12:28.201 [info] Got 1 sessions for ...
2026-03-11 13:14:53.812 [info] Getting sessions for all scopes...
2026-03-11 13:14:53.812 [info] Got 1 sessions for ...
2026-03-11 13:14:53.813 [info] Getting sessions for all scopes...
2026-03-11 13:14:53.813 [info] Got 1 sessions for ...
2026-03-11 13:17:21.940 [info] Getting sessions for all scopes...
2026-03-11 13:17:21.940 [info] Got 1 sessions for ...
2026-03-11 13:17:21.941 [info] Getting sessions for all scopes...
2026-03-11 13:17:21.941 [info] Got 1 sessions for ...
2026-03-11 13:18:33.790 [info] Getting sessions for all scopes...
2026-03-11 13:18:33.790 [info] Got 1 sessions for ...
2026-03-11 13:18:33.791 [info] Getting sessions for all scopes...
2026-03-11 13:18:33.791 [info] Got 1 sessions for ...
2026-03-11 13:18:35.691 [info] Getting sessions for all scopes...
2026-03-11 13:18:35.691 [info] Got 1 sessions for ...
2026-03-11 13:18:35.692 [info] Getting sessions for all scopes...
2026-03-11 13:18:35.692 [info] Got 1 sessions for ...
2026-03-11 13:23:01.636 [info] Getting sessions for all scopes...
2026-03-11 13:23:01.636 [info] Got 1 sessions for ...
2026-03-11 13:23:01.641 [info] Getting sessions for all scopes...
2026-03-11 13:23:01.641 [info] Got 1 sessions for ...
2026-03-11 13:23:02.264 [info] Getting sessions for all scopes...
2026-03-11 13:23:02.264 [info] Got 1 sessions for ...
2026-03-11 13:23:02.265 [info] Getting sessions for all scopes...
2026-03-11 13:23:02.265 [info] Got 1 sessions for ...
2026-03-11 13:23:22.925 [info] Getting sessions for all scopes...
2026-03-11 13:23:22.925 [info] Got 1 sessions for ...
2026-03-11 13:23:22.934 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:23:22.934 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:23:23.783 [info] Getting sessions for all scopes...
2026-03-11 13:23:23.783 [info] Got 1 sessions for ...
2026-03-11 13:23:23.783 [info] Getting sessions for all scopes...
2026-03-11 13:23:23.783 [info] Got 1 sessions for ...
2026-03-11 13:23:23.785 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:23:23.785 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:23:23.791 [info] Getting sessions for all scopes...
2026-03-11 13:23:23.791 [info] Got 1 sessions for ...
2026-03-11 13:23:23.792 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:23:23.792 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:23:47.789 [info] Getting sessions for all scopes...
2026-03-11 13:23:47.789 [info] Got 1 sessions for ...
2026-03-11 13:23:47.790 [info] Getting sessions for all scopes...
2026-03-11 13:23:47.790 [info] Got 1 sessions for ...
2026-03-11 13:24:35.640 [info] Getting sessions for all scopes...
2026-03-11 13:24:35.641 [info] Got 1 sessions for ...
2026-03-11 13:24:35.641 [info] Getting sessions for all scopes...
2026-03-11 13:24:35.641 [info] Got 1 sessions for ...
2026-03-11 13:25:03.379 [info] Getting sessions for all scopes...
2026-03-11 13:25:03.379 [info] Got 1 sessions for ...
2026-03-11 13:25:03.381 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:25:03.381 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:29:15.697 [info] Getting sessions for all scopes...
2026-03-11 13:29:15.697 [info] Got 1 sessions for ...
2026-03-11 13:29:15.699 [info] Getting sessions for all scopes...
2026-03-11 13:29:15.699 [info] Got 1 sessions for ...
2026-03-11 13:30:57.914 [info] Getting sessions for all scopes...
2026-03-11 13:30:57.914 [info] Got 1 sessions for ...
2026-03-11 13:30:57.916 [info] Getting sessions for all scopes...
2026-03-11 13:30:57.916 [info] Got 1 sessions for ...
2026-03-11 13:30:58.967 [info] Getting sessions for all scopes...
2026-03-11 13:30:58.967 [info] Got 1 sessions for ...
2026-03-11 13:30:58.969 [info] Getting sessions for all scopes...
2026-03-11 13:30:58.969 [info] Got 1 sessions for ...
2026-03-11 13:30:59.967 [info] Getting sessions for all scopes...
2026-03-11 13:30:59.967 [info] Got 1 sessions for ...
2026-03-11 13:30:59.969 [info] Getting sessions for all scopes...
2026-03-11 13:30:59.969 [info] Got 1 sessions for ...
2026-03-11 13:31:50.895 [info] Getting sessions for all scopes...
2026-03-11 13:31:50.895 [info] Got 1 sessions for ...
2026-03-11 13:31:50.916 [info] Getting sessions for all scopes...
2026-03-11 13:31:50.916 [info] Got 1 sessions for ...
2026-03-11 13:32:11.416 [info] Getting sessions for all scopes...
2026-03-11 13:32:11.417 [info] Got 1 sessions for ...
2026-03-11 13:32:11.418 [info] Getting sessions for all scopes...
2026-03-11 13:32:11.419 [info] Got 1 sessions for ...
2026-03-11 13:32:17.728 [info] Getting sessions for all scopes...
2026-03-11 13:32:17.728 [info] Got 1 sessions for ...
2026-03-11 13:32:17.730 [info] Getting sessions for all scopes...
2026-03-11 13:32:17.773 [info] Got 1 sessions for ...
2026-03-11 13:32:59.746 [info] Getting sessions for all scopes...
2026-03-11 13:32:59.746 [info] Got 1 sessions for ...
2026-03-11 13:32:59.748 [info] Getting sessions for all scopes...
2026-03-11 13:32:59.748 [info] Got 1 sessions for ...
2026-03-11 13:33:13.383 [info] Reading sessions from keychain...
2026-03-11 13:33:13.383 [info] Getting sessions for all scopes...
2026-03-11 13:33:13.383 [info] Got stored sessions!
2026-03-11 13:33:13.383 [info] Got 1 verified sessions.
2026-03-11 13:33:13.383 [info] Got 1 sessions for ...
2026-03-11 13:33:13.383 [info] Getting sessions for all scopes...
2026-03-11 13:33:13.383 [info] Got 1 sessions for ...
2026-03-11 13:33:13.383 [info] Getting sessions for all scopes...
2026-03-11 13:33:13.383 [info] Got 1 sessions for ...
2026-03-11 13:33:13.383 [info] Getting sessions for user:email...
2026-03-11 13:33:13.383 [info] Got 0 sessions for user:email...
2026-03-11 13:33:13.383 [info] Getting sessions for all scopes...
2026-03-11 13:33:13.383 [info] Got 1 sessions for ...
2026-03-11 13:33:13.383 [info] Getting sessions for all scopes...
2026-03-11 13:33:13.383 [info] Got 1 sessions for ...
2026-03-11 13:33:13.383 [info] Getting sessions for all scopes...
2026-03-11 13:33:13.383 [info] Got 1 sessions for ...
2026-03-11 13:33:13.383 [info] Getting sessions for all scopes...
2026-03-11 13:33:13.383 [info] Got 1 sessions for ...
2026-03-11 13:33:13.494 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-03-11 13:33:13.494 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-03-11 13:33:13.647 [info] Getting sessions for user:email...
2026-03-11 13:33:13.647 [info] Got 0 sessions for user:email...
2026-03-11 13:33:13.690 [info] Getting sessions for all scopes...
2026-03-11 13:33:13.690 [info] Got 1 sessions for ...
2026-03-11 13:33:13.881 [info] Getting sessions for read:user,repo,user:email,workflow...
